Dot Point Measurements

Generated: Tuesday 29 November 2022 11:43:50

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
1.JPG	      0		1072	639													Unconsolidated	Sand	mud (fine sand)		82001015				60.8
1.JPG	      0		1037	1084													Unconsolidated	Sand	mud (fine sand)		82001015				26.8
1.JPG	      0		880	1668													Unconsolidated	Sand	mud (fine sand)		82001015				65.6
1.JPG	      0		653	1898													Unconsolidated	Sand	mud (fine sand)		82001015				92.8
1.JPG	      0		1068	929													Unconsolidated	Sand	mud (fine sand)		82001015				36.0
1.JPG	      0		662	1254													Unconsolidated	Sand	mud (fine sand)		82001015				23.9
1.JPG	      0		688	1859													Unconsolidated	Sand	mud (fine sand)		82001015				87.7
1.JPG	      0		1011	911													Unconsolidated	Sand	mud (fine sand)		82001015				32.0
1.JPG	      0		591	249													Unknown								100.0
1.JPG	      0		881	461													Hydroids				11001000				73.4
1.JPG	      0		579	1085													Unconsolidated	Sand	mud (fine sand)		82001015				25.6
1.JPG	      0		1029	352													Unconsolidated	Sand	mud (fine sand)		82001015				89.1
1.JPG	      0		844	356													Unconsolidated	Sand	mud (coarse sand)		82001014				85.0
1.JPG	      0		793	1075													Unconsolidated	Sand	mud (fine sand)		82001015				3.0
1.JPG	      0		807	1160													Unconsolidated	Sand	mud (fine sand)		82001015				6.9
1.JPG	      0		669	1445													Unconsolidated	Sand	mud (fine sand)		82001015				42.4
1.JPG	      0		544	628													Unknown								61.4
1.JPG	      0		793	1771													Unconsolidated	Sand	mud (fine sand)		82001015				76.7
1.JPG	      0		586	1705													Unconsolidated	Sand	mud (fine sand)		82001015				73.4
1.JPG	      0		876	1455													Unconsolidated	Sand	mud (fine sand)		82001015				41.5
10.JPG	      0		982	1602													Unconsolidated	Sand	mud (fine sand)		82001015				79.3
10.JPG	      0		1029	645													Unconsolidated	Sand	mud (fine sand)		82001015				30.2
10.JPG	      0		785	1411													Unconsolidated	Sand	mud (fine sand)		82001015				59.1
10.JPG	      0		999	1218													Unconsolidated	Sand	mud (fine sand)		82001015				38.1
10.JPG	      0		982	142													Unconsolidated	Sand	mud (fine sand)		82001015				82.4
10.JPG	      0		995	1427													Unconsolidated	Sand	mud (fine sand)		82001015				60.4
10.JPG	      0		788	496													Unconsolidated	Sand	mud (fine sand)		82001015				44.7
10.JPG	      0		557	496													Unconsolidated	Sand	mud (fine sand)		82001015				57.2
10.JPG	      0		1028	1090													Hydroids				11001000				26.4
10.JPG	      0		791	1789													Unconsolidated	Sand	mud (fine sand)		82001015				100.0
10.JPG	      0		783	531													Unconsolidated	Sand	mud (fine sand)		82001015				41.2
10.JPG	      0		1069	247													Unconsolidated	Sand	mud (coarse sand)		82001014				72.8
10.JPG	      0		1029	1448													Unconsolidated	Sand	mud (fine sand)		82001015				63.4
10.JPG	      0		856	38													Unconsolidated	Sand	mud (fine sand)		82001015				93.5
10.JPG	      0		899	1642													Unconsolidated	Sand	mud (fine sand)		82001015				83.1
10.JPG	      0		1002	367													Bryozoa	Bryozoa / Cnidaria Matrix			20000000				58.2
10.JPG	      0		836	602													Unconsolidated	Sand	mud (fine sand)		82001015				32.1
10.JPG	      0		686	1097													Unconsolidated	Sand	mud (fine sand)		82001015				33.0
10.JPG	      0		953	905													Unconsolidated	Sand	mud (fine sand)		82001015				6.2
10.JPG	      0		948	536													Unconsolidated	Sand	mud (fine sand)		82001015				39.0
11.JPG	      0		820	263													Unconsolidated	Sand	mud (fine sand)		82001015				57.3
11.JPG	      0		835	743													Unconsolidated	Sand	mud (fine sand)		82001015				9.8
11.JPG	      0		791	1491													Unconsolidated	Sand	mud (fine sand)		82001015				67.9
11.JPG	      0		837	337													Unconsolidated	Sand	mud (fine sand)		82001015				49.9
11.JPG	      0		909	1792													Unknown								99.3
11.JPG	      0		704	1625													Unconsolidated	Sand	mud (fine sand)		82001015				81.9
11.JPG	      0		704	72													Unconsolidated	Sand	mud (fine sand)		82001015				77.0
11.JPG	      0		976	586													Unconsolidated	Sand	mud (fine sand)		82001015				31.2
11.JPG	      0		769	891													Unconsolidated	Sand	mud (fine sand)		82001015				6.9
11.JPG	      0		672	1801													Unconsolidated	Sand	mud (fine sand)		82001015				100.0
11.JPG	      0		833	264													Unconsolidated	Sand	mud (fine sand)		82001015				57.3
11.JPG	      0		996	110													Unconsolidated	Sand	mud (fine sand)		82001015				75.9
11.JPG	      0		585	689													Unconsolidated	Sand	mud (fine sand)		82001015				24.5
11.JPG	      0		552	1673													Unconsolidated	Sand	mud (fine sand)		82001015				89.5
11.JPG	      0		645	514													Unconsolidated	Sand	mud (fine sand)		82001015				34.6
11.JPG	      0		1025	1367													Unconsolidated	Sand	mud (fine sand)		82001015				60.4
11.JPG	      0		831	1178													Unconsolidated	Sand	mud (fine sand)		82001015				36.3
11.JPG	      0		792	654													Invertebrate Complex	Complex 1							17.4
11.JPG	      0		616	377													Unconsolidated	Sand	mud (fine sand)		82001015				48.7
11.JPG	      0		774	66													Unconsolidated	Sand	mud (fine sand)		82001015				77.2
12.JPG	      0		954	776													Unconsolidated	Sand	mud (fine sand)		82001015				14.2
12.JPG	      0		1005	1305													Unconsolidated	Sand	mud (fine sand)		82001015				52.8
12.JPG	      0		585	410													Bryozoa	Bryozoa / Cnidaria Matrix			20000000				52.9
12.JPG	      0		776	713													Unconsolidated	Sand	mud (fine sand)		82001015				14.8
12.JPG	      0		854	71													Unconsolidated	Sand	mud (fine sand)		82001015				81.8
12.JPG	      0		675	386													Unconsolidated	Sand	mud (fine sand)		82001015				51.3
12.JPG	      0		591	1602													Unconsolidated	Sand	mud (fine sand)		82001015				85.4
12.JPG	      0		1056	157													Unconsolidated	Sand	mud (fine sand)		82001015				76.3
12.JPG	      0		708	1768													Unconsolidated	Sand	mud (fine sand)		82001015				100.0
12.JPG	      0		898	1007													Unconsolidated	Sand	mud (fine sand)		82001015				19.1
12.JPG	      0		1022	1213													Unconsolidated	Sand	mud (fine sand)		82001015				44.6
12.JPG	      0		927	149													Unconsolidated	Sand	mud (fine sand)		82001015				74.2
12.JPG	      0		663	862													Unconsolidated	Sand	mud (fine sand)		82001015				18.6
12.JPG	      0		1038	1181													Unconsolidated	Sand	mud (fine sand)		82001015				42.4
12.JPG	      0		691	165													Unconsolidated	Sand	mud (fine sand)		82001015				73.4
12.JPG	      0		931	680													Unconsolidated	Sand	mud (fine sand)		82001015				19.7
12.JPG	      0		829	1065													Unconsolidated	Sand	mud (fine sand)		82001015				24.1
12.JPG	      0		822	1435													Unconsolidated	Sand	mud (fine sand)		82001015				63.6
12.JPG	      0		704	1500													Unconsolidated	Sand	mud (fine sand)		82001015				71.9
12.JPG	      0		998	326													Unconsolidated	Sand	mud (fine sand)		82001015				57.2
13.JPG	      0		843	1200													Unconsolidated	Sand	mud (coarse sand)		82001014				28.0
13.JPG	      0		901	841													Unconsolidated	Sand	mud (coarse sand)		82001014				16.4
13.JPG	      0		929	223													Unconsolidated	Sand	mud (coarse sand)		82001014				74.7
13.JPG	      0		1068	877													Unconsolidated	Pebble	gravel (gravel 2-10mm)		82001011				30.9
13.JPG	      0		865	904													Unconsolidated	Sand	mud (coarse sand)		82001014				10.1
13.JPG	      0		667	948													Unconsolidated	Sand	mud (coarse sand)		82001014				10.8
13.JPG	      0		650	823													Unconsolidated	Unknown			82001005				17.1
